Personal bests (Round the Clock, saved sessions only)
player,completedAttempts,bestDarts,bestHitRatePercent
Ant,4,34,62

Per-number accuracy (Round the Clock, saved sessions only)
player,number,attempts,hits,hitRatePercent,amongWeakest5
Ant,1,7,4,57,
Ant,2,7,4,57,
Ant,3,10,4,40,
Ant,4,13,4,31,yes
Ant,5,5,4,80,
Ant,6,12,4,33,yes
Ant,7,12,4,33,yes
Ant,8,9,4,44,
Ant,9,8,4,50,
Ant,10,6,4,67,
Ant,11,6,4,67,
Ant,12,6,4,67,
Ant,13,12,4,33,
Ant,14,6,4,67,
Ant,15,5,4,80,
Ant,16,12,4,33,
Ant,17,5,4,80,
Ant,18,6,4,67,
Ant,19,8,4,50,
Ant,20,13,4,31,yes
Ant,Bull,16,4,25,yes
Louis,1,0,0,,
Louis,2,0,0,,
Louis,3,0,0,,
Louis,4,0,0,,
Louis,5,0,0,,
Louis,6,0,0,,
Louis,7,0,0,,
Louis,8,0,0,,
Louis,9,0,0,,
Louis,10,0,0,,
Louis,11,0,0,,
Louis,12,0,0,,
Louis,13,0,0,,
Louis,14,0,0,,
Louis,15,0,0,,
Louis,16,0,0,,
Louis,17,0,0,,
Louis,18,0,0,,
Louis,19,0,0,,
Louis,20,0,0,,
Louis,Bull,0,0,,
